,mag,mag,mag,mag,mag,depth,depth,depth,depth,latitude,latitude,latitude,longitude,longitude,longitude,departamento
,count,mean,std,min,max,mean,std,min,max,mean,min,max,mean,min,max,<lambda>
cluster,,,,,,,,,,,,,,,,
0,132,4.484090909090909,0.30362430216188135,3.2,5.0,30.589666666666666,32.5540277056082,0.0,158.4,2.815443181818182,0.7311,4.9125,-78.25086666666667,-79.849,-74.9148,Nariño
1,700,4.344714285714286,0.20651215851011717,3.8,5.0,154.09408142857143,13.036800702786516,83.582,215.34,6.740350571428571,3.0134,9.6063,-73.14363,-76.3416,-72.4176,Santander
2,38,4.605263157894737,0.3979320656547353,4.1,6.0,10.406578947368422,2.0573300413410256,6.54,20.9,13.026563157894737,11.7101,13.2022,-81.09777368421052,-81.6967,-77.3864,Zona Montañosa
3,98,5.283673469387755,0.4420416264279371,4.9,7.3,62.52302040816327,57.16399599163392,5.7,170.0,5.442795918367347,1.135,9.0817,-75.53259693877551,-79.4066,-71.6995,Choco
4,241,4.458921161825725,0.21411951006850777,3.6,4.9,50.05226141078838,35.79983815783548,5.66,150.107,6.2168282157676344,3.755,9.3705,-76.69962821576765,-78.6127,-74.4491,Choco
5,64,4.4640625,0.3159099668305152,3.0,5.2,41.652421875,34.75910483202866,7.37,130.36,10.801159375000001,7.7442,12.8854,-73.54424375,-77.0161,-71.7962,La Guajira
6,139,4.39568345323741,0.26563309761832693,3.5,5.0,20.075769784172664,15.441836827699072,4.0,62.48,4.829076978417266,0.362,7.433,-72.8572856115108,-75.4801,-69.0619,Meta
